SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
EMBASSY, RR, 22-Mar-2022,367.88,369.5,377.7,364,376,375.54,365.83,1917517,7014.95,8547,1814328,94.62
EMKAY, EQ, 22-Mar-2022,110,112,113,110.25,112,111.1,111.29,45398,50.52,1029,29090,64.08
EMKAYTOOLS, SM, 22-Mar-2022,213.8,224.45,224.45,224.45,224.45,224.45,224.45,600,1.35,1,600,100
EMMBI, EQ, 22-Mar-2022,95.35,95.55,96.45,91.65,92.75,92.35,93.34,49963,46.64,970,36575,73.2
ENDURANCE, EQ, 22-Mar-2022,1168.4,1168.4,1178.9,1140,1145,1145.85,1150.77,130835,1505.61,19586,93101,71.16
ENERGYDEV, BE, 22-Mar-2022,24.3,24.25,24.25,23.1,24,23.5,23.33,56099,13.09,368, -, -
ENGINERSIN, EQ, 22-Mar-2022,61.6,61.8,62,61.25,61.6,61.5,61.58,1041540,641.36,5547,666481,63.99
ENIL, EQ, 22-Mar-2022,209.95,207,216.45,205.2,214,210.5,211.5,57457,121.52,2617,25556,44.48
EPL, EQ, 22-Mar-2022,155.45,157.9,157.9,153,155,154.85,154.57,352680,545.14,13354,196322,55.67
EQUIPPP, EQ, 22-Mar-2022,72.95,72.95,74.05,70.1,73.4,72.8,71.77,10310,7.4,454,5867,56.91
EQUITAS, EQ, 22-Mar-2022,107.9,118,119.5,108.65,110.45,111.15,111.75,3758103,4199.61,59379,1116039,29.7
EQUITASBNK, EQ, 22-Mar-2022,52.9,56.5,57.85,52.6,54.05,54.1,54.81,3031862,1661.73,15162,556957,18.37
ERFLNCDI, N4, 22-Mar-2022,990,980,995,951.01,951.01,951.01,986.8,333,3.29,6,193,57.96
ERFLNCDI, N5, 22-Mar-2022,885,885,885,885,885,885,885,21,0.19,2,21,100
ERFLNCDI, N6, 22-Mar-2022,878,885,885,875,875,875,876.56,32,0.28,3,32,100
ERIS, EQ, 22-Mar-2022,722.25,721.45,725.9,710,712.5,712.4,715.31,51749,370.16,13580,24590,47.52
EROSMEDIA, EQ, 22-Mar-2022,30.85,30.9,32.2,30.3,30.7,30.7,31.31,1447986,453.41,5101,711236,49.12
ESABINDIA, EQ, 22-Mar-2022,3277.45,3293.85,3293.85,3214.2,3244.7,3232.8,3243.48,3026,98.15,781,1495,49.41
ESCORTS, EQ, 22-Mar-2022,1847.15,1849.9,1849.9,1833.1,1842.7,1840.65,1839.69,887701,16330.93,10902,601204,67.73
ESSARSHPNG, BE, 22-Mar-2022,8.4,8.6,8.6,8.25,8.4,8.3,8.32,83509,6.95,287, -, -
ESTER, EQ, 22-Mar-2022,130.6,131.6,133,129.1,133,131.8,131.22,158532,208.03,1779,124953,78.82
EUROBOND, SM, 22-Mar-2022,92.8,94.9,100.9,93.2,100,99.7,97.54,56000,54.62,26,34000,60.71
EVEREADY, EQ, 22-Mar-2022,348.05,349.25,352,342.15,343.1,344.25,346.72,1062954,3685.48,14141,402191,37.84
EVERESTIND, EQ, 22-Mar-2022,709.3,719.9,765,710.1,764,760,740.8,371309,2750.67,21150,108983,29.35
EXCEL, BE, 22-Mar-2022,7.7,7.85,7.85,7.35,7.35,7.35,7.45,167851,12.51,317, -, -
EXCELINDUS, EQ, 22-Mar-2022,1615.05,1630.35,1659.95,1570,1614,1606.55,1605.18,38780,622.49,4721,18402,47.45
EXIDEIND, EQ, 22-Mar-2022,154.85,154.5,155.5,152.8,155,154.85,154.13,1458193,2247.51,16767,585476,40.15
EXPLEOSOL, EQ, 22-Mar-2022,1482,1480,1483.8,1450,1470,1459.05,1469.73,11867,174.41,1377,8504,71.66
EXXARO, EQ, 22-Mar-2022,114.15,114,116,114,115.9,115,114.71,92192,105.75,1849,58942,63.93
FACT, EQ, 22-Mar-2022,131.1,131.15,139.5,130.5,136.4,136.6,135.74,1395026,1893.61,14223,238275,17.08
FAIRCHEMOR, EQ, 22-Mar-2022,1535.05,1529.25,1619.7,1512.5,1570.05,1579.05,1583.13,50701,802.66,7148,22516,44.41
FCL, EQ, 22-Mar-2022,164.7,164.7,167.35,163,164.4,164,164.99,482070,795.38,5048,158791,32.94
FCONSUMER, EQ, 22-Mar-2022,5.8,5.8,5.8,4.9,5.1,5.15,5.22,28351695,1479.19,15721,12256272,43.23
FCSSOFT, BE, 22-Mar-2022,4.6,4.4,4.65,4.4,4.6,4.4,4.4,4979147,219.27,6826, -, -
FDC, EQ, 22-Mar-2022,263.7,265.5,265.5,261.05,262.55,262.55,262.96,87433,229.91,2458,47245,54.04
FEDERALBNK, EQ, 22-Mar-2022,97.35,97.5,99.2,96.5,99,98.85,97.82,11871146,11611.99,34217,2236262,18.84
FEL, EQ, 22-Mar-2022,7.9,7.95,8.15,6.65,7.05,7,6.93,12067581,836.31,11966,5672277,47
FELDVR, BE, 22-Mar-2022,18.05,17.15,17.15,17.15,17.15,17.15,17.15,14198,2.43,77, -, -
FIBERWEB, EQ, 22-Mar-2022,41.8,41.8,42.65,41,41.1,41.2,41.4,42752,17.7,386,32226,75.38
FIEMIND, EQ, 22-Mar-2022,972.75,972.75,980,953.15,967.15,966.55,963.65,34428,331.77,4561,14329,41.62
FILATEX, EQ, 22-Mar-2022,125.95,126.5,127.85,123,126.15,125.75,125.17,422507,528.85,4973,111291,26.34
FILDF2GP, MF, 22-Mar-2022,0.73,0.73,0.8,0.73,0.8,0.8,0.73,9252,0.07,4,9252,100
FINCABLES, EQ, 22-Mar-2022,398.25,402,402.95,397.1,397.25,398.05,399.55,203673,813.78,6688,75821,37.23
FINEORG, EQ, 22-Mar-2022,3957.55,3960,4025.5,3864.4,3900,3920.7,3946.62,21701,856.46,4803,8239,37.97
FINOPB, EQ, 22-Mar-2022,284,284,286.95,277.5,277.6,278.4,279.8,40197,112.47,2194,19296,48
FINPIPE, EQ, 22-Mar-2022,156.35,156.8,157.2,153.35,156,154.75,154.78,416424,644.53,11097,217019,52.11
FLEXITUFF, BE, 22-Mar-2022,26.75,27.9,27.9,25.45,26.4,26.35,25.69,5051,1.3,57, -, -
FLFL, EQ, 22-Mar-2022,37.15,36.05,36.8,31.4,32.5,32.55,33.25,1832581,609.29,12177,938909,51.23
FLUOROCHEM, BE, 22-Mar-2022,3007.65,3007.65,3045,2920,2949.95,2941.15,2967.97,30250,897.81,3095, -, -
FMGOETZE, EQ, 22-Mar-2022,265.65,265.6,267.95,265.2,266.5,266.75,266.12,159064,423.3,1029,132932,83.57
FMNL, EQ, 22-Mar-2022,8.35,8.2,8.35,7.8,8.05,7.95,7.96,397365,31.64,849,209041,52.61
FOCE, SM, 22-Mar-2022,217.1,213,217,213,217,213.15,213.15,31200,66.5,22,30000,96.15
FOCUS, BE, 22-Mar-2022,100.5,97.6,100,97.6,100,100,98.83,1048,1.04,23, -, -
FOODSIN, EQ, 22-Mar-2022,88.15,86,89.45,81.55,84.9,84.75,84.65,148178,125.43,1034,101963,68.81
FORCEMOT, EQ, 22-Mar-2022,1069.55,1069.55,1075,1057.3,1067.5,1067.25,1065.32,25614,272.87,4608,12616,49.25
FORTIS, EQ, 22-Mar-2022,258.35,256.8,262.9,256.65,260.3,261.7,260.21,543948,1415.41,14200,219118,40.28
FOSECOIND, EQ, 22-Mar-2022,1302.55,1295,1310,1281.15,1281.15,1286,1288.67,1819,23.44,254,1337,73.5
FRETAIL, EQ, 22-Mar-2022,35.65,35,35,29.7,30.35,30.35,31.21,24152640,7537.3,63670,7081533,29.32
FSC, EQ, 22-Mar-2022,51.55,50,51.25,44.35,44.8,45.7,46.96,472374,221.84,9075,222998,47.21
FSL, EQ, 22-Mar-2022,123.4,123.6,128.4,120.35,125.6,125.6,124.93,5877071,7342.26,34282,1221425,20.78
GABRIEL, EQ, 22-Mar-2022,119.8,120,120.2,118.2,119.4,119.6,119.3,204621,244.11,3439,96202,47.01
GAEL, EQ, 22-Mar-2022,243.35,244,259.5,244,251.4,251.85,253.47,1194083,3026.58,24451,315746,26.44
GAIL, EQ, 22-Mar-2022,144.3,145,146.15,142.7,143.55,143.45,144.17,12817516,18478.64,58951,6043513,47.15
GAL, BE, 22-Mar-2022,4.05,3.95,4.25,3.9,4.2,4.05,4.07,483638,19.68,640, -, -
GALAXYSURF, EQ, 22-Mar-2022,2980,2995.7,2995.7,2880.1,2955,2941.85,2933.78,13014,381.8,3248,6005,46.14
GALLANTT, EQ, 22-Mar-2022,64.15,65.85,65.85,61.9,62.9,62.65,62.6,60460,37.85,917,40656,67.24
GALLISPAT, EQ, 22-Mar-2022,51.55,52.7,52.8,51.05,52.8,52.1,51.8,12258,6.35,213,8606,70.21
GANDHITUBE, EQ, 22-Mar-2022,349.75,349.75,354.4,341.05,351.8,347.75,348.57,3630,12.65,282,2215,61.02
GANECOS, EQ, 22-Mar-2022,727.3,736.9,756,721.1,723,724.7,738.37,113834,840.51,7153,53345,46.86
GANESHBE, EQ, 22-Mar-2022,104.7,106,106.2,102,103,102.95,103.61,97530,101.05,2179,80758,82.8
GANESHHOUC, EQ, 22-Mar-2022,216.05,220,259.25,213.4,259.25,259.25,241.96,650502,1573.95,13583,296926,45.65
GANGAFORGE, EQ, 22-Mar-2022,10.3,10.25,10.75,9.8,9.8,9.8,10.12,2145107,217.13,3066,1010532,47.11
GANGESSECU, EQ, 22-Mar-2022,128.3,134.5,135.5,130,132.8,132.35,132.84,17505,23.25,898,8521,48.68
GARFIBRES, EQ, 22-Mar-2022,2728.65,2740,2740,2680,2704,2706,2711.26,10059,272.73,2288,5879,58.45
GATEWAY, BE, 22-Mar-2022,280.35,68.95,72.35,68.95,72.35,72.35,71.46,111351,79.57,339, -, -
GATI, EQ, 22-Mar-2022,153.05,153.05,156.8,152.15,154.6,155,154.26,922910,1423.72,13076,344834,37.36
GAYAHWS, BE, 22-Mar-2022,1,1.05,1.05,1,1.05,1.05,1.05,2363101,24.8,1784, -, -
GAYAPROJ, EQ, 22-Mar-2022,22.7,22.85,22.9,22.15,22.55,22.3,22.47,820166,184.33,1487,686665,83.72
GEECEE, EQ, 22-Mar-2022,155.35,154.15,158.4,151.8,157,157.5,155.19,63442,98.45,1618,25007,39.42
GEEKAYWIRE, EQ, 22-Mar-2022,69.8,69.8,69.95,68.25,69.1,69.25,69.2,6986,4.83,119,6060,86.74
GENCON, EQ, 22-Mar-2022,34.9,34.95,36,34,34.4,34.3,35.01,82001,28.7,678,29000,35.37
GENESYS, BE, 22-Mar-2022,597.85,605,624.9,571,612,610.65,599.81,36502,218.94,750, -, -
GENUSPAPER, EQ, 22-Mar-2022,15.4,15.45,15.7,14.65,14.8,14.8,15.07,602403,90.78,1785,326990,54.28
GENUSPOWER, EQ, 22-Mar-2022,64.3,63.2,65.6,63.2,65.5,65.3,64.81,352084,228.19,3443,147942,42.02
GEOJITFSL, EQ, 22-Mar-2022,62.4,63,63.2,61.1,61.9,61.95,61.93,371747,230.22,4277,198339,53.35
GEPIL, EQ, 22-Mar-2022,146.6,146.55,149.4,143.55,148.1,147.65,147.07,142913,210.19,2739,84108,58.85
GESHIP, EQ, 22-Mar-2022,340.4,340,345.5,330.4,337,336.2,336.86,296184,997.72,7901,162775,54.96
GET&D, EQ, 22-Mar-2022,91.9,93,94.4,91,93.05,92.95,92.94,75061,69.76,1172,42501,56.62
GFLLIMITED, EQ, 22-Mar-2022,67.75,68.5,69.3,66.75,67,67.9,68.1,85674,58.34,804,58443,68.22
GHCL, EQ, 22-Mar-2022,537.8,542.25,564.15,531,562.15,557.3,550.35,723024,3979.19,22001,217165,30.04
GICHSGFIN, EQ, 22-Mar-2022,137.05,138.9,138.9,135,137.4,136.45,136.55,99506,135.87,1782,58512,58.8
GICRE, EQ, 22-Mar-2022,117.55,117.1,117.45,114.85,116.2,116.15,116.29,367021,426.81,5781,180714,49.24
GILLANDERS, EQ, 22-Mar-2022,66.25,66.1,67.95,64.6,67.45,65.65,66.39,13023,8.65,888,2463,18.91
GILLETTE, EQ, 22-Mar-2022,4901.5,4924,5466,4850,4912.35,4900.35,4968.08,16547,822.07,2817,5198,31.41
GINNIFILA, EQ, 22-Mar-2022,47.05,47.4,47.85,46.45,46.6,46.85,46.94,97807,45.91,882,69564,71.12
GIPCL, EQ, 22-Mar-2022,76.4,76.95,76.95,75.55,76.4,75.95,76.02,141266,107.4,1521,88008,62.3
GKWLIMITED, EQ, 22-Mar-2022,569.35,583.4,583.4,565,565,566.7,571.15,118,0.67,23,114,96.61
GLAND, EQ, 22-Mar-2022,3282.65,3271,3296,3170,3200,3199.85,3201.16,194024,6211.03,22777,142533,73.46
GLAXO, EQ, 22-Mar-2022,1577.15,1579.9,1610,1551,1604,1564.95,1564.37,28662,448.38,2534,18278,63.77
GLENMARK, EQ, 22-Mar-2022,455.75,456.85,459.55,444.5,449.8,450.05,451.16,898723,4054.68,14170,160386,17.85
GLFL, BE, 22-Mar-2022,2.65,2.75,2.75,2.75,2.75,2.75,2.75,2446,0.07,9, -, -
GLOBAL, EQ, 22-Mar-2022,73.3,73.3,73.3,69.65,71.2,71.1,70.71,15203,10.75,188,9010,59.26
GLOBALVECT, BE, 22-Mar-2022,47.55,48.75,49.65,47.6,49.35,49.35,48.37,6289,3.04,68, -, -
GLOBE, EQ, 22-Mar-2022,9.9,9.95,10.4,9.5,9.7,9.65,9.73,2374119,231.1,2982,1119896,47.17
GLOBUSSPR, EQ, 22-Mar-2022,1473.1,1492,1544,1448,1508,1500.25,1503.65,491160,7385.3,28047,117653,23.95
GLS, EQ, 22-Mar-2022,460.95,465.7,465.7,455.7,456,456.6,458.94,62379,286.28,2703,43826,70.26
GMBREW, EQ, 22-Mar-2022,665.4,667.5,692,660.05,692,690.25,680.78,56660,385.73,4544,26578,46.91
GMDCLTD, EQ, 22-Mar-2022,164.1,164,169.9,161.1,162.2,162.15,164.99,3122103,5151.27,25375,905797,29.01
GMMPFAUDLR, EQ, 22-Mar-2022,4327.85,4352,4455.45,4313.25,4414.5,4410.9,4397.52,19961,877.79,6358,10142,50.81
GMRINFRA, EQ, 22-Mar-2022,37.4,37.5,38.15,36.75,38.1,38.05,37.65,16687586,6282.77,45919,8605108,51.57
GNA, EQ, 22-Mar-2022,541.3,541.3,544.5,526,532,533.95,533.37,80591,429.84,9258,31211,38.73
GNFC, EQ, 22-Mar-2022,762.45,762,808,758.6,794.1,799.45,787.72,6979862,54981.54,138974,726180,10.4
GOACARBON, EQ, 22-Mar-2022,386.2,388,417,385.25,406,406.15,401.27,243274,976.2,12532,86725,35.65
GOCLCORP, EQ, 22-Mar-2022,295.4,293,315.35,290,306,307.5,305.04,105396,321.5,3855,37588,35.66
GOCOLORS, EQ, 22-Mar-2022,949.7,954.3,954.3,917.1,941,941.1,929.23,35907,333.66,4622,15618,43.5
GODFRYPHLP, EQ, 22-Mar-2022,1064.75,1065,1100,1048.15,1100,1085.45,1069.25,52312,559.34,5944,19267,36.83
GODHA, BE, 22-Mar-2022,164.15,155.95,168.1,155.95,165,161.4,156.94,219583,344.61,1514, -, -
GODREJAGRO, EQ, 22-Mar-2022,472.05,470.1,474,460.8,465.1,464.8,465.16,129451,602.16,7626,85265,65.87
GODREJCP, EQ, 22-Mar-2022,722.25,720,721,691.25,699.9,699.3,698.18,2803453,19573.06,89494,1554231,55.44
GODREJIND, EQ, 22-Mar-2022,489.9,492.5,494,486,486.55,487.8,490.1,135072,661.99,4961,75747,56.08
GODREJPROP, EQ, 22-Mar-2022,1607.8,1607,1607,1545.25,1580.85,1578.95,1570.27,872990,13708.28,39706,192960,22.1
GOENKA, BZ, 22-Mar-2022,3.3,3.3,3.4,3.15,3.3,3.25,3.28,313397,10.27,685, -, -
GOKEX, EQ, 22-Mar-2022,388.55,390.9,419.7,385.9,415,416.3,407.15,1002970,4083.59,39579,281371,28.05
GOKUL, EQ, 22-Mar-2022,35.45,34.9,35.65,34.3,35,34.8,35.01,71759,25.12,1001,43850,61.11
GOKULAGRO, BE, 22-Mar-2022,70.05,70.05,71,68.4,70.2,69.85,69.73,39290,27.4,293, -, -
GOLDBEES, EQ, 22-Mar-2022,44.14,44.96,44.96,44.16,44.3,44.32,44.5,5629993,2505.32,29157,4577554,81.31
GOLDENTOBC, EQ, 22-Mar-2022,97,96.3,101,95.8,96.8,96.55,97.73,13051,12.75,474,5683,43.54
GOLDIAM, EQ, 22-Mar-2022,815.35,824,824,801.5,809.55,810.35,811.16,38356,311.13,2822,17280,45.05
GOLDSHARE, EQ, 22-Mar-2022,44.05,44.8,44.95,44.2,44.3,44.25,44.51,83723,37.26,453,65614,78.37
GOLDTECH, BE, 22-Mar-2022,72.95,76.4,76.55,69.5,76.55,76.55,75.32,126996,95.66,832, -, -
GOODLUCK, BE, 22-Mar-2022,302.05,302.05,304,296,297.05,298.65,298.86,12851,38.41,233, -, -
GOODYEAR, EQ, 22-Mar-2022,928.25,938,938,910.15,928.15,928.3,920.6,7980,73.46,1138,3736,46.82
GPIL, EQ, 22-Mar-2022,378.5,384.4,401,375,389.9,388.95,391.72,1114519,4365.85,17548,396057,35.54
GPPL, EQ, 22-Mar-2022,83.3,83.45,83.65,81.6,81.95,82.1,82.36,282923,233.01,5368,172677,61.03
GPTINFRA, EQ, 22-Mar-2022,72.9,73.45,74.2,71.5,73.45,73.45,73.02,18107,13.22,352,8753,48.34
GRANULES, EQ, 22-Mar-2022,313.75,313.75,315.5,308.5,311.5,312.45,312.03,1093818,3413.02,16231,195722,17.89
GRAPHITE, EQ, 22-Mar-2022,492.6,494.5,526.7,491.1,516.5,515.15,515.72,3850989,19860.35,77587,646188,16.78
GRASIM, EQ, 22-Mar-2022,1569.45,1569.45,1590.95,1525.1,1584.7,1582.5,1560.01,1013736,15814.4,43303,330310,32.58
GRAUWEIL, EQ, 22-Mar-2022,57.75,57.75,57.8,56.5,56.55,56.8,56.91,61101,34.77,695,40968,67.05
GRAVITA, BE, 22-Mar-2022,352.2,352,355,344,344.1,345.65,347.03,40929,142.03,1185, -, -
GREAVESCOT, EQ, 22-Mar-2022,190,190.5,191.95,183.55,186.5,187,186.82,3803657,7106.1,30879,638710,16.79
GREENLAM, EQ, 22-Mar-2022,364.9,364.5,373.05,363.9,367.05,368.05,369.15,15408,56.88,1114,8897,57.74
GREENPANEL, EQ, 22-Mar-2022,572.85,577,594.4,560.5,564.75,568.35,574.15,477099,2739.26,22112,209982,44.01
GREENPLY, EQ, 22-Mar-2022,190.15,187.7,193,186.5,190.7,191.7,190.07,246426,468.38,4734,100753,40.89
GREENPOWER, BE, 22-Mar-2022,14.2,14.55,14.9,13.65,14.9,14.9,14.46,4990445,721.75,9202, -, -
GRINDWELL, EQ, 22-Mar-2022,1819.9,1802.2,1828,1781.1,1796,1806.25,1803.86,39903,719.79,7112,20182,50.58
GRINFRA, EQ, 22-Mar-2022,1422.35,1455,1466.25,1431.1,1440,1442.6,1447.09,72929,1055.35,7963,22579,30.96
GROBTEA, EQ, 22-Mar-2022,1049.25,1093,1093,999,1024,1026.85,1026.05,1991,20.43,419,918,46.11
GRPLTD, EQ, 22-Mar-2022,1399.8,1390.25,1410,1372.1,1394,1390.05,1391.44,1585,22.05,334,806,50.85
GRSE, EQ, 22-Mar-2022,232.75,232,238.7,230.35,234.7,234.65,234.34,131121,307.26,3452,56377,43
GRWRHITECH, EQ, 22-Mar-2022,741.55,748.45,752.8,715.5,733,725.6,735.8,17997,132.42,1309,13962,77.58
GSCLCEMENT, EQ, 22-Mar-2022,41.5,41.9,41.9,41,41.4,41.4,41.59,69981,29.1,717,46102,65.88
GSFC, EQ, 22-Mar-2022,148.95,149.4,153.15,146.25,150.3,150.4,149.82,7541528,11299.05,38682,1751209,23.22
GSPL, EQ, 22-Mar-2022,269.55,272,272.6,262.55,267.9,268.3,267.03,888877,2373.57,16379,366792,41.26
GSS, BE, 22-Mar-2022,106.05,107.9,111.35,106,108.8,109.95,108.13,51940,56.16,244, -, -
GTL, EQ, 22-Mar-2022,12.95,13.05,13.1,12.15,12.7,12.6,12.56,1263313,158.72,3101,781563,61.87
GTLINFRA, EQ, 22-Mar-2022,1.65,1.65,1.65,1.6,1.65,1.6,1.61,55095763,885.59,27453,28747208,52.18
GTPL, EQ, 22-Mar-2022,170.7,170.6,183.6,168.5,181.1,182.75,177.09,236429,418.69,7335,93812,39.68
GUFICBIO, EQ, 22-Mar-2022,241.05,242,245.9,240,243,241.75,242.95,151282,367.54,4023,64515,42.65
GUJALKALI, EQ, 22-Mar-2022,737.4,742.6,759.8,732.3,758.8,756,747.34,383686,2867.44,12917,105106,27.39
GUJAPOLLO, EQ, 22-Mar-2022,209.85,211.9,211.95,208,211.4,209.75,209.57,3511,7.36,226,1991,56.71
GUJGASLTD, EQ, 22-Mar-2022,499.7,503.6,506.6,487.2,493.5,491.9,494.42,1512778,7479.43,37434,467042,30.87
GUJRAFFIA, BE, 22-Mar-2022,37.4,38.55,38.55,35.6,37,36.3,36.39,9519,3.46,43, -, -
GULFOILLUB, EQ, 22-Mar-2022,447.25,447.25,447.25,436.5,441.75,439.9,439.85,47973,211.01,3583,25520,53.2
GULFPETRO, EQ, 22-Mar-2022,51,51.8,51.9,50.05,51.5,50.95,50.92,59317,30.21,912,36003,60.7
GULPOLY, EQ, 22-Mar-2022,373.4,379.8,392.05,379.75,392.05,392.05,390.72,172569,674.25,1887,101476,58.8
HAL, EQ, 22-Mar-2022,1446.2,1447,1447,1398.05,1421,1414.75,1417.64,569579,8074.6,20247,261175,45.85
HAPPSTMNDS, EQ, 22-Mar-2022,1147.75,1148,1152.95,1118.25,1144,1136.6,1135,307241,3487.19,21720,128302,41.76
HARRMALAYA, EQ, 22-Mar-2022,143.9,143.05,145.35,142.1,143.75,143.5,143.37,41552,59.57,897,24230,58.31
HATHWAY, EQ, 22-Mar-2022,19.05,19.05,19.05,18.7,18.8,18.8,18.86,2290052,431.92,4793,845924,36.94
HATSUN, EQ, 22-Mar-2022,1201.6,1202,1204.2,1178.75,1190,1196.05,1192.63,16685,198.99,3438,6934,41.56
HAVELLS, EQ, 22-Mar-2022,1137.15,1139.95,1144,1096,1127,1124.95,1115.65,1207877,13475.65,44102,416757,34.5
HAVISHA, BE, 22-Mar-2022,2.95,3.05,3.05,2.85,2.95,3,2.93,83667,2.45,186, -, -
HBANKETF, EQ, 22-Mar-2022,360.3,360.4,365,355,364,363.23,360.45,1869,6.74,130,1014,54.25
HBLPOWER, EQ, 22-Mar-2022,66.75,67.45,67.6,64.6,65.6,65.65,66,1068169,705.03,8490,360698,33.77
HBSL, EQ, 22-Mar-2022,47.9,46.2,50.8,46.2,50,49.6,49.35,8186,4.04,273,4643,56.72
HCC, EQ, 22-Mar-2022,16.4,16.45,16.8,16.25,16.5,16.5,16.52,8988984,1484.74,9116,2590601,28.82
HCG, EQ, 22-Mar-2022,267.8,269.6,269.6,264.25,265.45,265.7,265.64,121482,322.7,3014,82012,67.51
HCL-INSYS, EQ, 22-Mar-2022,19.8,19.65,20.05,19.55,19.75,19.65,19.76,271528,53.64,1767,203803,75.06
HCLTECH, EQ, 22-Mar-2022,1168.05,1170,1181.75,1162.3,1180,1176.4,1173.35,4516870,52998.75,97208,2942684,65.15
HDFC, EQ, 22-Mar-2022,2391.9,2398,2420,2355.55,2406.95,2402.75,2381.46,6357856,151409.63,131396,5127101,80.64
HDFC, W3, 22-Mar-2022,577.75,570,584,570,574,574.5,576.06,9600,55.3,16,6600,68.75
HDFCAMC, EQ, 22-Mar-2022,2152.85,2152.85,2166.85,2121,2157.8,2160.35,2149.24,277448,5963.03,16718,126351,45.54
HDFCBANK, EQ, 22-Mar-2022,1486.5,1481.3,1498,1457.2,1496.8,1494.15,1478.67,5230907,77347.91,217951,2596078,49.63
HDFCLIFE, EQ, 22-Mar-2022,522.35,523.5,530.5,516.5,528.75,529.3,523.62,3457606,18104.79,71819,1559858,45.11
HDFCMFGETF, EQ, 22-Mar-2022,45.43,45.98,45.98,45.3,45.31,45.39,45.66,356058,162.58,883,226534,63.62
HDFCNIFETF, EQ, 22-Mar-2022,183.77,184.5,185.99,182.46,185.88,185.57,183.93,13253,24.38,304,8372,63.17
HDFCSENETF, EQ, 22-Mar-2022,616.12,621.99,622.99,609.5,622.99,622.46,618.48,8629,53.37,176,3428,39.73
HDIL, BZ, 22-Mar-2022,7.4,7.75,7.75,7.75,7.75,7.75,7.75,430105,33.33,398, -, -
HEALTHY, EQ, 22-Mar-2022,8.5,8.5,8.8,8.38,8.45,8.46,8.46,28056,2.37,787,24076,85.81
HECPROJECT, EQ, 22-Mar-2022,36.05,35.2,37.8,35.05,36.65,37,36.65,1795,0.66,87,1256,69.97
HEG, EQ, 22-Mar-2022,1251.3,1256.8,1324.8,1252.8,1305.25,1308.85,1304.72,833513,10874.98,41495,153666,18.44
HEIDELBERG, EQ, 22-Mar-2022,192.1,193.4,196,190.35,195.15,194.9,192.4,158495,304.94,10675,80239,50.63
HEMIPROP, EQ, 22-Mar-2022,123.85,123.7,124.8,120.9,122.25,122.3,122.88,1246685,1531.95,10577,490085,39.31
HERANBA, EQ, 22-Mar-2022,656.45,660,661.7,641,643,643.7,649.39,67085,435.64,4412,32581,48.57
HERCULES, EQ, 22-Mar-2022,139.75,139.3,141.2,138,138.8,138.95,139.21,26329,36.65,727,14993,56.94
HERITGFOOD, EQ, 22-Mar-2022,331.5,336.45,341.65,331.6,338.6,338.55,337.25,80680,272.1,3001,39265,48.67
HEROMOTOCO, EQ, 22-Mar-2022,2391.55,2405,2435,2345.05,2422.35,2423.65,2391.53,470208,11245.17,31986,179621,38.2
HESTERBIO, EQ, 22-Mar-2022,2452,2499,2564.2,2426.35,2501,2498.9,2509.76,29855,749.29,4995,9756,32.68
HEXATRADEX, EQ, 22-Mar-2022,160,160.9,162.05,154.15,156.9,156.15,156.95,54093,84.9,503,45493,84.1
HFCL, EQ, 22-Mar-2022,73.9,74,74.15,72.25,73.15,73,73.12,6516547,4764.68,20255,2378041,36.49
HGINFRA, EQ, 22-Mar-2022,586.9,584.9,591.85,570.05,573.7,573.45,579.82,103859,602.19,9488,45887,44.18
HGS, EQ, 22-Mar-2022,1092.25,1100,1179.95,1086,1156.2,1151.45,1125.69,180808,2035.34,9491,88685,49.05
HIKAL, EQ, 22-Mar-2022,407.05,416,417.85,400,403,404.55,406.96,101496,413.05,4181,49335,48.61
HIL, EQ, 22-Mar-2022,3960.5,3980,3980,3844.55,3874.1,3879.6,3882.48,12229,474.79,2307,7180,58.71
HILTON, EQ, 22-Mar-2022,29.35,29.1,29.3,28.25,29.3,29.15,28.67,15898,4.56,180,12290,77.31
HIMATSEIDE, EQ, 22-Mar-2022,161.85,162.05,162.95,157.35,159,158.9,159.67,366976,585.97,6068,216409,58.97
HINDALCO, EQ, 22-Mar-2022,589.95,599.8,602.85,587.2,593.25,593.45,594.65,7490300,44541.27,146536,1918963,25.62
HINDCOMPOS, EQ, 22-Mar-2022,279.9,280.35,283.65,279,282.95,281.65,280.63,19128,53.68,281,17347,90.69
HINDCON, EQ, 22-Mar-2022,70.75,72,72,68.3,69.5,70.6,70.74,32339,22.88,603,25288,78.2
HINDCOPPER, EQ, 22-Mar-2022,117,117.7,120,116.5,118.1,118.2,118.28,4837292,5721.72,24077,994776,20.56
HINDMOTORS, EQ, 22-Mar-2022,11.9,12.1,12.15,11.85,12,12,11.97,460919,55.16,1211,360634,78.24
HINDNATGLS, EQ, 22-Mar-2022,12.75,13.35,13.35,13.35,13.35,13.35,13.35,42402,5.66,66,42402,100
HINDOILEXP, EQ, 22-Mar-2022,216.1,223,228.8,218.9,223.8,223.1,224.16,1741238,3903.11,25364,574037,32.97
